tf_name,tf_gene,rule
ArcA,b4401,b4401 AND NOT (o2(e) > 0)
Fnr,b1334,b1334 AND  NOT (o2(e) > 0)
DeoR,b0840,b0840 AND (NOT((PPM2>0) OR (PPM2<0 )))
NarL,b1221,b1221 AND (no3(e)>0) OR (no2(e)>0)
TorR,b0995,b0995 AND TorS
OxyR,b3961,b3961 AND (h2o2(e) > 0) OR (o2(e) > 0)
RpoE,b2573,b2573
llR,b0506,OFF
AraC,b0064,(arab-L(e) > 0)
ArgR,b3237,(arg-L(e) > 0)
AsnC,b3743,( NOT ( asn-L(e) > 0 ) AND NRI_hi )
BetI,b0313,(NOT (ArcA) OR (chol(e) > 0))
BirA,b3973,(btn(e) > 0)
CadC,b4133,(lys-L(e) > 0)
CaiF,b0034,((Fnr AND ArcA) OR Crp AND (NOT NarL))
Cbl,b1987,(NOT ((so4(e) > 0) OR (cys-L(e) > 0 )) AND CysB )
CpxR,b3912,(Stress)
Crp,b3357,(CRP_noGLC)
CynR,b0338,(cynt(e)>0)
CysB,b1275,(NOT (cys-L(e) > 0))
CytR,b3934,(cytd(e) > 0)
DcuR,b4124,(DcuS)
DcuS,b4125,((succ(e) > 1) OR (asp-L(e) > 1) OR (fum(e) > 1) OR (mal-L(e) > 1))
DsdC,b2364,(ser-D(e) > 0)
ExuR,b3094,(NOT(GUI1>0) AND NOT(GUI2>0) AND NOT(MANAO>0) AND NOT(TAGURr>0) AND NOT(GUI1<0) AND NOT(GUI2<0) AND NOT(MANAO<0) AND NOT(TAGURr<0))
FadR,b1187,( glc-d(e) > 0 OR NOT ( ac(e) > 0 ))
FhlA,b2731,((NOT (no3(e) > 1)) AND (NOT (no2(e) > 1)) AND (NOT (tmao(e) > 1)) AND (NOT (dmso(e) > 1)) AND (for(e)>1))
Fis,b3261,(Growth > 0)
FucR,b2805,(fuc-L(e) > 0)
Fur,b0683,((fe2(e) > 0) OR (NOT(Fnr OR ArcA)))
GalR,b2837,( NOT ( lcts(e)>0 ) OR NOT (gal(e)>0) )
GalS,b2151,( NOT ( lcts(e)>0 ) OR NOT (gal(e)>0) )
GatR,b2087,(NOT (galt(e) > 0))
GcvA,b2808,(NOT GcvR)
GcvR,b2479,(NOT (gly(e) > 0))
GlcC,b2980,((ac(e)>0) OR (glyclt(e)>0))
GlpR,b3423,( NOT ( glyc(e)>0 ) AND (o2(e) > 0 ))
GntR,b3438,(NOT (glcn(e) > 0))
GutM,b2706,(ON)
HcaR,b2537,(pppn(e)>0)
IclR,b4018,( FadR )
IdnR,b4264,((idon-L(e)>0) OR (5dglcn(e)>0))
KdgR,b1827,((ArcA) AND (Fnr) AND (NOT(2ddglcn(e)>0) AND NOT(MNNH>0) AND NOT(ALTRH>0)))
LacI,b0345,( NOT ( lcts(e)>0 ) )
Lrp,b0889,(NOT leu-L(e) >0)
LysR,b2839,(NOT (lys-L(e) > 0))
MalI,b1620,(NOT (malt(e) > 0))
MalT,b3418,((malt(e) > 0) OR (malttr(e) > 0) OR (maltttr(e) > 0) OR (malthx(e) > 0) OR (maltpt(e) >0))
ManA,b1613,(ON)
MarA,b1531,((NOT ArcA OR NOT Fnr) OR OxyR OR (Salicylate))
MelR,b4118,((melib(e) > 0) OR (melib(e) > 0 AND Crp))
MetJ,b3938,(met-L(e) > 0)
MetR,b3828,(NOT (met-L(e) > 0))
MhpR,b0346,(3hpppn(e)>0)
Mlc,b1594,( NOT ( glc-D(e)>0 ) )
MtlR,b3601,(NOT (mnl(e) > 0))
NagC,b0676,(NOT((acgam(e) > 0) OR AGDC>0))
Nac,b1988,(NRI_low AND RpoN)
NadR,b4390,(high_NAD)
NhaR,b0020,(na1(e) > 0)
OmpR,b3405,(high_osmolarity)
PdhR,b0113,(NOT (Surplus_PYR) OR (NOT (ArcA) OR NOT (Fnr)))
PhoB,b0399,(PhoR)
PhoR,b0400,(pi(e)<0.004E-6 M)
PurR,b1658,((hxan(e) > 0) OR (gua(e) > 0))
RbsR,b3753,( NOT ( rib-D(e)>0 ) )
RhaR,b3906,(rmn(e) > 0)
RhaS,b3905,(RhaR)
Rob,b4396,(dipyridyl)
RpoN,b3202,(ON)
RpoS,b2741,(NOT (Growth > 0))
SdaR,b0162,((glcr(e)>0) OR (galct-D(e)>0))
SoxR,b4063,((h2o2(e) > 0) OR (Oxidative_Stress))
SoxS,b4062,(SoxR)
SrlR,b2707,(Fnr AND NOT (sbt-D(e) > 0))
TdcA,b3118,((thr-L(e) > 0) AND (ser-L(e) > 0) AND (val-L(e) > 0) AND (ile-L(e) > 0) AND NOT (o2(e) > 0))
TdcR,b3119,((thr-L(e) > 0) AND (ser-L(e) > 0) AND (val-L(e) > 0) AND (ile-L(e) > 0) AND NOT (o2(e) > 0))
TorS,b0993,((tmao(e)>0) OR NOT (o2(e) > 0))
TreR,b4241,(NOT (tre(e) > 0))
TrpR,b4393,(trp-L(e)>0)
TyrR,b1323,(((trp-L(e) > 0) OR (tyr-L(e) > 0) OR (phe-L(e) > 0)) OR NOT (o2(e) > 0))
UhpA,b3669,(UhpB)
UhpB,b3668,(g6p(e) > 0)
UxuR,b4324,(NOT(MANAO>0) AND NOT(GUI1>0) AND NOT(MANAO<0) AND NOT(GUI1<0))
XapR,b2405,(xtsn(e) > 0)
XylR,b3569,(xyl-D(e) > 0)
YiaJ,b3574,(NOT (fuc-L(e)>0))
CyaA,b3806,((NOT Crp) AND (Fnr))
IlvY,b3773,(NOT val-L(e) > 0 )